verse	widx	form	lemma	root	etymology
1.03	8	drupada-putreṇa	drupada-putra	√dru	traditionally:pu-tra – one who saves from hell);
1.07	7	dvijottama	dvi-ja-uttama		uttama – uppermost, highest, superlative of: ud – upwards, above);
1.07	11	saṁjñā-artham	saṁjñā-artham	√jñā	artha – purpose, advantage, concern, object, wealth, use, suffix: for the sake of, on account of);
1.09	5	mad-arthe	mad-artha	√arth	artha – purpose, advantage, concern, object, wealth, use);
1.09	6	tyakta-jīvitāḥ	tyakta-jīvita	√tyaj	tyakta – abandoned; √jīv – to live, PP jīvita – living, life);
1.09	7	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	√śas	śastra – a weapon which is handled as opposed to weapon which is thrown – astra; pra-√hṛ – to throw, to hit, praharaṇa – striking, throwing, weapon);
1.17	3	parameṣvāsaḥ	parama-iṣu-āsa	√as	iṣu-āsa – arrow-throwing, bow; from: iṣu – arrow; √as – to throw, to hurl; āsa – thrower, bow);
1.24	9	ubhayoḥ	ubhā		pra-mukha – turning the face towards, foremost, pramukhataḥ – in front of, indeclinable ablative with an ending -tas);
1.32	2	kāṅkṣe	√kāṅkṣ	√kāṅkṣ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
1.33	1	yeṣām	yat		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
1.36	1	nihatya	ni-√han	√han	or BV: yo janānām abhadram ardati saḥ – one who destroys inauspiciousness of people;
1.37	1	tasmāt	tasmāt		√bandh – to bind, to fetter, bandhu – connection, relation, kinship, friend, bāndhava – kinsman, friend);
1.37	6	dhārtarāṣṭrān	dhārtarāṣṭra	√dhṛ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
1.37	14	mādhava	mādhava		(from: √lubh – to be greedy, lobha – greed, covetousness; upa-√han – to strike, to beat, to afflict, PP upahata – struck, hurt, affected, misled; √cit – to perceive, to think, cetas – mind, thought, heart, consciousness);
1.39	5	pāpāt	pāpa		jana-ardana 8n.1 m. – exciting / agitating people, O Janārdana (from: √jan – to be born, to produce, jana – man, people, creature; √ard – to torment, to hurt, or BV: yo janānām abhadram ardati saḥ – one who destroys inauspiciousness of people;
1.42	5	kulasya	kula		(from: √lup – to break, to spoil, PP lupta – broken; piṇḍa – balls of food offered to the deceased ancestors; udaka – water; √kṛ – to do, kriyā – act, work, especially religious one);
1.42	9	hi	hi		(from: √varṇ – to paint, to delineate, to tell, varṇa – colour, social class; sam-√kṝ – to mix, saṁkara – confusion; √kṛ – to do, kāraka – agent of doing, making);
1.45	2	mahat	mahant	√mah	(from: √rāj – to reign, PF rājya – to be ruled, a kingdom, power; su – prefix: good, excellent, beautiful, virtuous; kha – cavity, hole, nave; su-kha – joy, happiness, literally: good hole in the nave [of a wheel through which an axis runs]
1.47	1	saṁjayaḥ	sam-jaya	√ji	(from: aśru – a tear; √pṝ – to fill, to nourish, pūrṇa – full; ākula – confused, perturbed; √īkṣ – to see, īkṣaṇa – a look, sight, eye);
1.47	6	saṁkhye	saṁkhya	√khyā	(from: √śuc – to grieve,  to burn, śoka – grief, despair, heat; sam-√vij – to tremble, to fear, to  frighten, PP saṁvigna – agitated, terrified; √man – to think, manas – the mind, mānasa – pertaining to the mind, imagine, thought, the mind);
2.01	1	saṁjayaḥ	sam-jaya	√ji	(from: aśru – a tear; √pṝ – to fill, to nourish, pūrṇa – full; ākula – confused, perturbed; √īkṣ – to see, īkṣaṇa – a look, sight, eye);
2.54	1	arjunaḥ	arjuna		or ka-īśa-va – the lord of Brahmā and Śiva(from: ka – Brahmā; √xīś – to own, to reign, īśa – ruler, lord, Śiva; -va = -vant – owner);
2.55	12	tuṣṭaḥ	tuṣṭa	√tuṣ	or from: su-√sthā; opposite to: duḥkha);
2.66	9	na	na		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
3.01	3	jyāyasī	jyāyasī	√ji	or BV: yo janānām abhadram ardati sa – one who destroys inauspiciousness of people;
3.01	10	tat	tat		or ka-īśa-va – the lord of Brahmā and Śiva(from: ka – Brahmā; √xīś – to own, to reign, īśa – ruler, lord, Śiva; -va = -vant – owner);
3.07	7	arjuna	arjuna		or av. – constantly, decidedly;
3.41	2	tvam	yuṣmat		or: prajahihi → pra-√hā (to leave, to abandon) Imperat. P 2v.1 – you must leave;
4.01	12	manuḥ	manu	√man	or KD: rājānaś cāsav ṛṣayaś ca – they are kings and sages;
4.15	8	kuru	√kṛ	√kṛ	or av. – earlier, previously;
4.21	5	kevalam	kevalam		(from: yad-ṛcchā – accident, chance; √labh – to obtain, to gain; lābha – gain, profit; sam-√tuṣ – to rejoice, saṁtuṣṭa – completely satisfied);
4.23	1	gata-saṅgasya	gata-saṅga	√gam	or av. – completely;
4.38	1	na	na		or from: √vid (to find) Praes. pass. 1v.1 – it is found;
4.40	8	ayaṁ	idam		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
5.01	11	śreyaḥ	śreyas		or av. – certainly, decidedly, positively;
5.03	6	dveṣṭi	√dviṣ	√dviṣ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
5.12	10	saktaḥ	sakta	√sañj	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
5.20	14	sthitaḥ	sthita	√sthā	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
5.21	2	asaktātmā	asakta-ātman	√sañj	or: BV: yasyātmā brahmaṇi yogena yukto ‘sti saḥ – whose self is joined with brahman by yoga;
5.21	3	vindati	√vid	√vid	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
5.23	7	śarīra-vimokṣaṇāt	śarīra-vimokṣaṇa	√śri	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.04	6	karmasu	karman	√kṛ	or: ud-√dhṛ (to raise) Pot. P 1v.1 – he should raise;
6.06	13	varteta	√vṛt	√vṛt	or param ātman – the ancient self;
6.20	8	eva	eva		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.26	11	vaśam	vaśa	√vaś	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.28	1	yuñjan	yuñjant	√yuj	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.28	4	ātmānam	ātman		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.29	1	sarva-bhūta-stham	sarva-bhūta-stha	√bhū	or: BV: yasyātmā yogena yukto ‘sti saḥ – whose self is engaged by yoga;
6.32	1	ātmaupamyena	ātma-aupamya	√mā	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.32	5	yaḥ	yat		or from: duḥ-√sthā; opposite to: sukha – joy,happiness);
7.01	4	āsakta-manāḥ	ā-sakta-manas	√sañj	or av. – completely;
7.16	10	jñānī	jñānin	√jñā	or yasya bhaktir ekāsti saḥ – whose devotion is exclusive;
9.02	2	rāja-guhyam	rāja-guhya	√raj	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
9.15	3	api	api		or av. (3n.1) – separately, one by one (from: √pṛth – to extend, pṛthak – separately, one by one);
9.27	9	yat	yat		or DV / BV: yeṣāṁ śubhaṁ ca aśubhaṁ ca phale staḥ taiḥ – from these that have good and bad fruit;
9.27	13	kuruṣva	√kṛ	√kṛ	or: BV: yasyātmā saṁnyāse yogena yukto ‘sti saḥ – whose self is joined with austerity by yoga;
9.32	16	parām	para		or KD: rājānaś cāsav ṛṣayaś ca – they are kings and sages;
9.33	2	brāhmaṇāḥ	brāhmaṇa	√bṛh	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
10.04	2	jñānam	jñāna	√jñā	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
10.14	2	etat	etat		or ka-īśa-va – the lord of Brahmā and Śiva (from: ka – Brahmā; √xīś – to own, to reign, īśa – ruler, lord, Śiva; -va = -vant – owner);
10.17	14	mayā	asmat		or BV: yo janānām abhadram ardati sa – one who destroys inauspiciousness of people;
10.19	12	asti	√as	√as	or TP: guḍākāyā īśeti – O lord of laziness (from: guḍākā – laziness, idleness, sleep; √xīś – to own, to reign, īśa – ruler, lord);
11.07	4	kṛtsnam	kṛtsna		or TP: guḍākāyā īśeti –  O lord of laziness (from: guḍākā – laziness, idleness, sleep; √xīś – to own, to reign, īśa – ruler, lord);
11.28	9	tathā	tathā		or abhi-vi-jvalant (abhi-vi-√jval – to burn, to glow) PPr 1n.3 n. – blazing [mouths];
11.34	21	sapatnān	sa-patna		or ka-īśa-va – the lord of Brahmā and Śiva (from: ka – Brahmā; īśa – ruler, lord, Śiva; -va = -vant – owner);
11.35	17	sa-gadgadam	sa-gadgadam	√xgad	or TP: hṛṣīkāṇām / indriyāṇām īśa iti – O lord of the senses (from: hṛṣīka – an organ of senses; √xīś – to own, to reign, īśa – ruler, lord);
11.37	4	na	na		or TP: yaḥ kartṝṇām ādir iti tasmai – than one who is the first among the creators;
11.51	3	dṛṣṭvā	√dṛś	√dṛś	or BV: yo janānām abhadram ardati sa – one who destroys inauspiciousness of people;
12.09	1	atha	atha		or av. – firmly, steadily;
12.13	3	maitraḥ	maitra		or from: su-√sthā and duḥ-√sthā);
12.18	2	śatrau	śatru	√śad	or from: su-√sthā and duḥ-√sthā);
13.00	15	jñeyam	jñeya	√jñā	or from: √śṝ – to break, to crush, śarīra – easy to be destroyed, the body);
13.03	1	tat	tat		or yad vikārīti – what changes;
13.05	10	ca	ca		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
13.08	4	eva	eva		or av. – constantly, eternally (from: nitya – continual, eternal);
13.12	3	tat	tat		an-ādimant 2n.1 n. – that has no beginning (from: ādi – beginning, origin; -mant / -vant – suffix denoting one who possesses);
13.12	4	pravakṣyāmi	pra-√vac	√vac	para 1n.1 n. – beyond, ancient, final, the best, the supreme;
13.16	14	ca	ca		av. – later, next, future (from: para – beyond, ancient, final, the best, the supreme);
13.19	10	ca	ca		or DV: kāryatve ca kāraṇatve ca kartṛtve ceti – in effect, in cause and in being the cause;
13.19	15	prakṛti-saṁbhavān	prakṛti-saṁbhava	√kṛ	or from: su-√sthā and duḥ-√sthā);
13.22	1	upadraṣṭā	upa-draṣṭṛ	√dṛś	or param ātman – the ancient self;
13.26	4	sattvam	sattva	√as	or av. – similarly, equally;
13.27	6	vinaśyatsu	vi-naśyant	√naś	or av. – similarly, equally;
13.30	8	vistāram	vistāra	√stṛ	or param ātman – the ancient self;
13.34	5	bhūta-prakṛti-mokṣam	bhūta-prakṛti-mokṣa	√bhū	av. – later, next, future (from: para – beyond, ancient, final, the best, the supreme);
14.08	6	sarva-dehinām	sarva-dehin	√dih	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
14.27	5	amṛtasya	a-mṛta	√mṛ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
15.07	6	sanātanaḥ	sanātana		or av. – yat = yadā – when;
15.16	14	akṣaraḥ	a-kṣara	√kṣar	or param ātman – the ancient self;
16.14	10	aham	asmat		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
16.16	6	narake	naraka		or ye nāma-mātrena yajñāḥ taiḥ – with sacrifices in name only;
16.23	5	kāma-kārataḥ	kāma-kārataḥ	√kam	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.01	4	mahābāho	mahā-bāhu	√mah	or TP: hṛṣīkāṇām / indriyāṇām īśa iti – lord of the senses (from: hṛṣīka – an organ of senses; √xīś – to own, to reign, īśa – ruler, lord);
18.04	3	me	asmat		or TP: puruṣāṇām vyāghreti – O tiger among men!;
18.20	7	avibhaktam	a-vi-bhakta	√bhāj	or av. (3n.1) – one by one, separately (from: √pṛth – to extend, pṛthak – separately, one by one);
18.22	8	a-tattva-artha-vat	a-tattva-artha-vat	√arth	or av. – constantly, decidedly;
18.35	10	vimuñcati	vi-√muc	√muc	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.37	2	tat-agre	tat-agre		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.38	3	tat-agre	tat-agre		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.38	11	smṛtam	smṛta	√smṛ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.75	12	svayam	svayam		or ka – Brahmā; īśa – ruler, lord, Śiva; -va = -vant – owner, ka-īśa-va – the lord of Brahmā and Śiva; arjuna – white, clear, Arjuna);
